epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1045.72,1.08858,1.07695,1.02736,0.89073,0.91779,0.94135,0.51931,1.49552,1.43426,1.22076,0.000580174,0.000580174,0.000580174
62,1068.33,0.99992,1.03754,1.01726,0.82127,0.8632,0.92067,0.50007,1.51383,1.50066,1.23456,0.000566027,0.000566027,0.000566027
63,1090.09,1.16326,1.10436,0.99856,0.7283,0.90444,0.90558,0.46803,1.54798,1.49146,1.227,0.00055188,0.00055188,0.00055188
64,1112.86,1.25809,1.1111,1.05521,0.80099,0.93063,0.92748,0.48771,1.50312,1.40358,1.22126,0.000537733,0.000537733,0.000537733
65,1137.03,1.10806,1.08461,1.00241,0.80099,0.93063,0.92748,0.48771,1.50312,1.40358,1.22126,0.000523586,0.000523586,0.000523586
66,1159.24,1.1206,1.07712,1.03333,0.8555,0.86667,0.94916,0.501,1.53626,1.30814,1.22955,0.000509438,0.000509438,0.000509438
67,1183.04,1.07009,0.94285,1.01607,0.81384,0.93333,0.95361,0.50678,1.53122,1.30181,1.22119,0.000495291,0.000495291,0.000495291
68,1206.29,1.126,1.01883,1.01971,0.9433,0.79372,0.94683,0.4892,1.59204,1.39753,1.22451,0.000481144,0.000481144,0.000481144
69,1230.91,1.2022,1.15428,1.06311,0.9433,0.79372,0.94683,0.4892,1.59204,1.39753,1.22451,0.000466997,0.000466997,0.000466997
70,1253.74,1.13441,1.02016,0.99387,0.94477,0.79227,0.93672,0.45918,1.64986,1.42499,1.23872,0.00045285,0.00045285,0.00045285
71,1280.15,1.06575,0.97556,0.99851,0.80716,0.93333,0.94862,0.48989,1.63176,1.32716,1.25817,0.000438703,0.000438703,0.000438703
72,1303.82,1.11616,1.02934,1.03903,0.89421,0.95634,0.98641,0.55294,1.52415,1.19198,1.21998,0.000424556,0.000424556,0.000424556
73,1325.61,1.04946,1.03399,1.02796,0.89421,0.95634,0.98641,0.55294,1.52415,1.19198,1.21998,0.000410409,0.000410409,0.000410409
74,1349.09,1.14955,0.98596,1.03525,0.93454,0.99633,0.99197,0.59352,1.46739,1.17664,1.18545,0.000396262,0.000396262,0.000396262
75,1373.13,1.11214,0.97908,0.99806,0.90615,0.97637,0.98288,0.59357,1.50057,1.19147,1.18115,0.000382115,0.000382115,0.000382115
76,1396.56,1.05373,0.92109,1.00376,0.90729,0.97815,0.98288,0.55864,1.54741,1.17073,1.20234,0.000367967,0.000367967,0.000367967
77,1418.73,1.0157,0.97271,1.00322,0.90729,0.97815,0.98288,0.55864,1.54741,1.17073,1.20234,0.00035382,0.00035382,0.00035382
78,1441.08,1.09024,1.02838,1.04841,0.98064,0.93333,0.98894,0.54978,1.55851,1.14103,1.21059,0.000339673,0.000339673,0.000339673
79,1462.84,1.00678,0.95225,0.97226,0.97522,0.94774,0.99197,0.55303,1.54651,1.13417,1.21863,0.000325526,0.000325526,0.000325526
80,1485.67,1.0253,0.96073,1.00257,0.9692,0.9568,0.98944,0.54814,1.5102,1.15075,1.22139,0.000311379,0.000311379,0.000311379
81,1507.1,1.03153,0.90153,0.97992,0.9692,0.9568,0.98944,0.54814,1.5102,1.15075,1.22139,0.000297232,0.000297232,0.000297232
82,1530.07,0.98519,0.90801,1.0008,0.9742,0.95049,0.98944,0.56003,1.46901,1.16875,1.20578,0.000283085,0.000283085,0.000283085
83,1552.79,1.08827,1.07343,1.02066,0.95022,0.9329,0.98611,0.58768,1.42475,1.17662,1.19645,0.000268938,0.000268938,0.000268938
84,1575.92,0.93883,0.87605,0.96643,0.965,0.9311,0.98611,0.5817,1.42712,1.17558,1.19137,0.000254791,0.000254791,0.000254791
85,1597.58,1.02424,0.98582,0.99985,0.965,0.9311,0.98611,0.5817,1.42712,1.17558,1.19137,0.000240644,0.000240644,0.000240644
86,1619.66,1.05883,0.94451,1.01049,0.97213,0.93052,0.98611,0.58017,1.42565,1.14926,1.18805,0.000226497,0.000226497,0.000226497
87,1641.86,1.01623,0.89158,0.97917,0.93534,0.96667,0.98611,0.57746,1.41365,1.12793,1.18681,0.000212349,0.000212349,0.000212349
88,1664.36,0.944,0.8609,0.96732,0.95115,0.96667,0.98611,0.56618,1.39796,1.12027,1.18606,0.000198202,0.000198202,0.000198202
89,1686.59,1.04106,0.92614,0.97974,0.95115,0.96667,0.98611,0.56618,1.39796,1.12027,1.18606,0.000184055,0.000184055,0.000184055
90,1708.73,0.98127,0.96304,0.99107,0.95206,0.98453,0.99197,0.55836,1.41575,1.14308,1.19455,0.000169908,0.000169908,0.000169908
91,1725.63,0.90449,0.96021,1.00131,0.95082,0.99623,0.99197,0.55612,1.44715,1.16439,1.19981,0.000155761,0.000155761,0.000155761
92,1749.08,0.98363,1.01081,1.00236,0.91971,1,0.98944,0.57353,1.45403,1.18193,1.1961,0.000141614,0.000141614,0.000141614
93,1771.03,0.91493,0.95771,1.02821,0.91971,1,0.98944,0.57353,1.45403,1.18193,1.1961,0.000127467,0.000127467,0.000127467
94,1792.63,0.9235,0.92042,0.98086,0.91608,1,0.98944,0.57512,1.47825,1.20268,1.18688,0.00011332,0.00011332,0.00011332
95,1808.37,0.87822,0.91106,0.99484,0.91577,1,0.97944,0.55357,1.50127,1.22977,1.18205,9.91726e-05,9.91726e-05,9.91726e-05
96,1823.99,0.91433,0.91286,0.98451,0.91574,0.96667,0.97944,0.55472,1.50767,1.24399,1.17444,8.50255e-05,8.50255e-05,8.50255e-05
97,1839.68,0.89672,0.97528,1.01584,0.91574,0.96667,0.97944,0.55472,1.50767,1.24399,1.17444,7.08784e-05,7.08784e-05,7.08784e-05
98,1855.52,0.94953,1.02865,1.00369,0.93134,0.96667,0.97944,0.56088,1.51279,1.23777,1.17175,5.67313e-05,5.67313e-05,5.67313e-05
99,1871.74,0.87166,0.92469,0.98899,0.93609,0.96667,0.97944,0.55543,1.51301,1.22191,1.16839,4.25842e-05,4.25842e-05,4.25842e-05
100,1887.54,0.93848,1.00336,0.95751,0.93989,0.96667,0.98278,0.56361,1.49656,1.2024,1.16071,2.84371e-05,2.84371e-05,2.84371e-05
